PSN 7
Intelsat 4 (IS 4)
Intelsat 22 (IS-22)
Edusat (GSat 3)
GSAT 18
GSAT 7 (Insat 4F, Rukmini)
GSAT 11
GSAT 14
ABS-2A (Mongolsat-1)
ABS-1B (Eutelsat W75, Hot Bird 3, Eurobird 10, Eutelsat 2-F9, Eurobird 4, W76)
ABS-2 (ST 3, Koreasat 8, Condosat 2)
APSTAR 7
APSTAR 2R (Telstar 10, APSTAR IIR)
Thaicom 5 (Agrani 2)
Thaicom 6 (Africom 1)
Thaicom 8
Express AM4 (Ekspress AM4, EAM4)
Telkom 1
Express AM22 (Sesat 2, Ekspress AM22)
Express AM2 (Ekspress AM2)
Express MD1 (Ekspress MD-1)
Express AM4R (Ekspress AM4R, EAM4R)
Express 80
GSAT 6A
GSAT 30
CMS 01 (GSat 12R)
Insat 2E (Intelsat APR-2)
Insat 4A
GSAT 10
GSAT 5P (Insat 4D)
GSAT 6 (Insat 4E)
Insat 3B
JCSat 8 (JCSat 2A)
Insat 4B
Intelsat 15 (IS-15, JCSat 85)
Kazsat 2
ST 2
Chinasat 12 (ZX-15A, Chinasat 15A, ZX-12, Apstar 7B, SupremeSat 1)
Yamal 101 (Yamal 100 KA-1, Ямал-101)
Yamal 201 (Yamal 200 KA-1, Ямал-201)
Yamal 401 (Yamal 400 KA-1, Ямал-401)
Measat 3A (Measat 1R)
Measat 3B (Jabiru 2)
Jabiru 1 (Measat 3C)
Measat 3D
Measat 3 (Measat 3, Malaysia East Asia Sat 3)
ChinaSat 9 (Zhongxing-9, ZX-9, 中星9)
Insat 3C
Insat 3A
GSAT 15
GSAT 17
GSAT 24 (CMS 02)
SES 8
Luch 5V (Loutch-5V, Луч-5В)
Skynet 5A
SES 12
Express 103
GSAT 9 (South Asia Satellite)
Chinasat 11
Thuraya 3
AsiaSat 5
ChinaSat 9A (Zhongxing 9A, ZX 9A, Sinosat 4, Xinnuo 4)
ChinaSat 9B (Zhongxing 9B, ZX 9B)
Express AMU3
Kazsat 1
Express A2 (Ekspress 6A)
Express AM3 (Ekspress AM3)
SilkWave 1 (NYBBSat 1)
Asiastar 1 (Asiastar)
Asiasat 7 (AsiaSat 5C)
SES 9
Telkom 4 (Merah Putih)
Cakrawarta 1 (INDOSTAR 1)
SES 7 (Protostar 2, Indostar 2, Galaxy 8iR, Cakrawarta 2, Protostar II)
Inmarsat-2F4 (Inmarsat 2F4, I2F4)
Bsat 1B (B-Sat 1B)
Bsat 2A (B-Sat 2A)
Bsat 2C (B-Sat 2C)
BSat 3B
Bsat 4B
Bsat 4A
ChinaSat 10 (Zhongxing-10, ZX 10, Sinosat 5, Xinnuo 5, 中星10号, SupremeSat)
BSat 3C (JCSat 110R)
Chinasat 16 (Zhongxing 16, ZX-16, Shijian 13, SJ-13, 实践十三)
BSat 3A
JCSat 110A (JCSat 15)
Bsat 1A (BSAT 1, B-Sat 1A)
N-SAT-110 (Superbird 5, Superbird D, NSAT 110, N-Sat 110, JCSAT 110)
Koreasat 5 (Mugungwha 5)
Palapa N1 (Nusantara 2, Nusantara Dua)
Palapa D (Palapa D1)
Koreasat 5A (Mugungwha 5A, Hayasat)
Koreasat 7 (Mugungwha 7)
ABS-8
Chinasat 18 (ZX-18)
ABS-7 (Koreasat 3, Mugungwa 3)
ChinaSat 6B (ZHONGXING 6B, 中星6B)
Koreasat 6 (Olleh 1)
Telkom 3
Telkom 3S
Thaicom 4 (Ipstar 1, Measat 5)
Bangabandhu-1 (BD-1, BS-1)
Asiasat 6 (Thaicom 7)
Asiasat 2 (Amos 5i)
Thaicom 1A
Asiasat 9
Artemis
JCSat 4B (JCSat 13)
ChinaSat 6A (Zhongxing-6A, ZX-6A, Sinosat 6, Xinnuo 6, 中星6A)
Chinasat 6D (ZX 6D)
APSTAR 9A (ChinaSat 5A, Zhongwei 1, Chinastar 1, 中星5A, ZX-5A)
JCSat 3A (JCSat 10)
LAOSat 1 (APStar L)
JCSat RA (JCSat 12)
COMS 1 (Chollian)
Chinasat 6C (ZX-6C)
JCSat 5A (JCSat 9, N-Star D)
Vinasat 1
Vinasat 2
APSTAR 6C
APSTAR 6D (Shenzhen Star)
APSTAR 6E
JCSat 6 (JCSat 4A)
N-Star-C
JCSat 16
JCSat 17
Telstar 18V (Telstar 18 VANTAGE, APStar 5C)
Telstar 18 (Apstar 5, Apstar V)
Superbird A1 (Superbird A)
Express AM5 (Ekspress AM5, EAM5)
Express AT2
NBN-Co 1A (Sky Muster 1, SkyMuster I)
APSTAR 9 (MySat 1)
ST 1
Inmarsat-6 F1 (Inmarsat GX 6A, I6-F1, GX6A)
Inmarsat-4F1 (Inmarsat 4-F1, I4F1, PAC-W)
Superbird C2 (Superbird 7)
Express A4 (Express A1R, Ekspress A1R, Express 41R, Express 41P, Atlantic Bird 14)
Express MD2 (Ekspress MD2)
NBN-Co 1B (Sky Muster 2, SkyMuster II)
Express AMU7
SATRIA
PSN 6 (PSN VI, Nusantara Satu)
Asiasat 3S
PSN 5 (PSN V, ChinaSat 5B, XINNUO 1, Intelsat APR1, Sinosat 1, 中星5B )
Palapa C2
Measat 2 (Africasat 2)
JCSat 1B (JCSat 5)
JCSat 1C (Kacific-1, JCSat 18)
BRIsat
Optus D2
JCSat 2B (JCSat 14)
Optus 10
Optus D3
Optus C1 (Defence C1)
Intelsat 1R (IS 1R, PAS 1R)
Intelsat 706 (IS-706, Intelsat 7-F6)
Telkom 2
Superbird 3 (Superbird A3, Superbird C)
ABS-6 (ABS 1, LMI 1, Condosat 1)
Optus D1
Superbird B2 (Superbird 4)
Superbird B3 (Superbird 8, DSN-1, Kirameki 1)
Chinasat 5E (CZ-5E, Apstar 1)
APSTAR 6 (APSTAR 5B)
Yamal 202 (Yamal 200 KA-2, Ямал-202)
Optus B3 (Aussat B3)
Intelsat 19 (IS-19)
Luch 5A (Loutch-5A, Луч-5А)
Horizons 3E
Intelsat 8 (IS 8, PAS 8)
Intelsat 2 (IS 2, PAS 2)
Intelsat 805 (IS-805)
Eutelsat 172B
Eutelsat 174A (ES-174A, ES-172A, AMC 23, Worldsat 3, AMC 13, GE 2i, GE 23)
NSS 11 (AAP 1, GE 1A, Worldsat 1)
Intelsat 10 (IS 10, PAS 10)
Intelsat 602 (IS-602, INTELSAT VI F-2)
Intelsat 18 (IS-18)
Galaxy 10R (G-10R)
Inmarsat GX3 (Inmarsat 5F3, I5-POR, GX3)
NSS 9
Yamal 300K (Ямал-300К)
NSS 6
Thuraya 1
Arcturus (Aurora 4A)
Inmarsat-2F3 (Inmarsat 2F3, I2F3)
Echostar 5 (Ciel-1, Sky 1A, MCI 1)
Echostar 2
Directv 1 (DBS 1, DBS8402)
Hispasat 143W-1 (H143W-1, Hispasat 30W-4, H30W-4, Hispasat 1D)
Inmarsat-2F1 (Inmarsat 2F1, I2F1)
Spaceway 2 (Spaceway F2)
Spaceway 1 (Spaceway F1)
Eutelsat 139 West A (E139WA, E12WD, E31B, E7A, W3A, Eutelsat W3A)
Intelsat 5 (PAS 5, Arabsat 2C, Badr C)
AMC 10 (GE 10)
AMC 4 (GE 4)
AMC 7 (GE 7)
AMC 8 (GE 8, Aurora 3, Aurora III)
SES 22
SES 20
SES 19
Galaxy 33 (Galaxy-15R)
Galaxy 15 (G-15, Galaxy 1RR)
Eutelsat 133 West A (E133WA, Eutelsat 33C, E33C, Eutelsat 28A, E28A, Eurobird 1, Eutelsat W1R, Europesat 1)
AMC 1 (GE 1)
AMC 11 (GE 11)
SES 18
Galaxy 34 (Galaxy 12R)
SES 15
Galaxy 12 (Galaxy XII, G-12)
Ciel 2 (Ciel II)
Horizons 1 (Galaxy 13, Linkstar 4, Galaxy XIII)
AMC 6 (GE 6, Rainbow 2)
AMC 21
Galaxy 30 (Galaxy 14R)
Galaxy 18 (G-18)
Galaxy 31 (Galaxy 23R, PACSTAR-L4)
SBS 6
Galaxy 23 (G-23, IA-13, Telstar 13, EchoStar 9)
Directv 7S (DTV 7S, DBS 7S, USABSS-18)
Echostar 7
Anik F3
Directv 8
Echostar 14 (Echostar XIV)
Eutelsat 117 West A (E117WA, Satmex 8)
Eutelsat 117 West B (E117WB, Satmex 9)
Sirius FM-6 (Radiosat 6)
MexSat Bicentenario (Mexsat 3)
Eutelsat 115 West B (E115WB, Satmex 7)
Eutelsat 115 West A (E115WA, Satmex 5)
Solidaridad 2 (Satmex 4)
Sirius XM7 (SXM-7)
XM 4 (XM Blues)
XM 5 (Sirius XM-5)
ViaSat 1 (VS-1, VIASAT-IOM)
Eutelsat 113 West A (E113WA, Satmex 6)
MexSat 1 (Mexsat Centenario, MexSat-G1)
MexSat 2 (Morelos 3)
Wildblue 1 (KaStar 1, iSky 1, WB-1)
Anik F2 (CANSAT KA-4)
Echostar T1 (TerreStar 1, CANSAT-24)
Echostar 11 (Echostar XI)
Directv 6 (Tempo 2)
Inmarsat-3F3 (Inmarsat 3F3, I3F3, POR)
Echostar 10 (Echostar X)
Directv 5 (Tempo 1)
Anik F1
Telstar 12 (ORION 2)
Anik F1R
Skyterra 2 (MSV 2)
Echostar 17 (Jupiter 1, Spaceway 4)
Anik G1
AMSC 1 (MSAT 2)
SES 11 (Echostar 105)
AMC 15
Directv 10
Directv 12 (RB-2A)
SES 3 (OS-2, AMC 1R)
Directv 15
SES 21
Directv 16 (Directv T16)
Directv 4S (USABSS-13)
Directv 9S (USABSS-21)
SES 1 (AMC 4R, AMC 4R, AMC 5RR, OS-1)
Skyterra 1
Directv 11
Galaxy 16 (G-16)
Directv 14 (Directv BSS-99W, RB-1)
Inmarsat-4F3 (Inmarsat 4-F3, I4F3, PAC-E)
Inmarsat-2F2 (Inmarsat 2F2, I2F2)
Galaxy 19 (G-19, Intelsat Americas-9, IA-9)
Echostar 19 (Jupiter 2, Spaceway 5, Echostar 97)
Echostar 6 (Sky 1B, MCI 2)
Spaceway 3 (Spaceway F3)
Intelsat 30 (ISDLA-1, DLA 1)
Intelsat 31 (DLA 2)
Galaxy 35 (Galaxy 3CR)
Echostar 24 (Echostar XXIV, Jupiter-3, HNS 95W)
Galaxy 3C (G-3C)
Galaxy 11 (G-11)
Echostar G1 (ICO G1, DBSD G1)
Skynet 4D
Brasilsat B4
Star One C1
Nimiq 4i (Directv 2, DBS 2)
Nimiq 6
Galaxy 17 (G-17)
Galaxy 32 (Galaxy 17R)
Intelsat 40E (Tempo)
Echostar 3
Galaxy 28 (G-28, Telstar 8, Intelsat Americas 8, IA 8)
Galaxy 36 (Galaxy 28R)
Viasat 3 (VS-3)
HellasSat 2 (HS 2, Hellas Sat 2, Intelsat K-TV, NSS K-TV)
Astra 3A
SES 2 (AMC 5R, AMC 26)
Tupac Katari 1 (TKSat 1, Tupac Katari Sat 1)
Echostar 12 (Rainbow 1, Cablevision 1)
Sirius FM-5 (Radiosat 5)
Nimiq 2 (Telesat-DTH 2)
Nimiq 1 (Telesat-DTH 1)
AMC 2 (GE 2)
AMC 16 (GE 16)
XM 3 (XM Rhythm)
Sirius XM8 (SXM-8)
Hispasat 84W-1 (H84W-1, Hispasat 1C, DFS 3)
Star One D1 (Hispasat 84W-2, H84W-2)
AMC 9
AMC 18 (GE 18)
Nimiq 3 (DirecTV-3, DBS-3, Nimiq 2i)
Nimiq 4
Galaxy 9 (G-9)
ARSAT 2
ARSAT SG1 (ARSAT 3)
AMC 5 (GE 5, Nahuel 1B)
Intelsat 3R (IS 3R, PAS 3R)
Intelsat 603 (IS-603, Intelsar 6 III, Intelsat 6 3)
SatCom C3
Sky-Mexico 1 (RB-2, SKYM-1, DIRECTV KU-79W)
Venesat 1 (Simon Bolivar 1)
Echostar 4
Galaxy 4R (G-4R)
QuetzSat 1
Echostar 1 (USABSS-16)
Echostar 8
Intelsat 16 (IS-16, PAS-11R)
SGDC 1
Star One C3
Hispasat 74W-1 (Amazonas 4, AMZ4, Amazonas 4A)
Horizons 2
Astra 1D
Nimiq 5 (EchoStar-72W)
Echostar 23 (Echostar XXIII)
ARSAT 1
Nahuel 1
Astra 2C
AMC 3 (GE 3, Eagle-1)
Star One C4 (Hispasat 70W-1, H70W-1)
Viasat 2 (VS-2)
Star One D2
Brasilsat B1
Brasilsat B2
Astra 1H
SES 17
SES 10 (Simón Bolivar 2)
Eutelsat 65 West A (E65WA)
Brasilsat B3
Star One C2
Telstar 14R (Estrela do Sul 2, EDS 2)
Telstar 19V (Telstar 19 VANTAGE)
Telstar 14 (Estrela do Sul 1)
Amazonas 2 (AMZ2)
Echostar 15
Amazonas Nexus (Amazonas Nexus 6)
Amazonas 3 (AMZ3)
Echostar 16 (Echostar XVI)
Amazonas 5 (AMZ5)
Echostar 18 (EchoStar XVIII, USABSS-41)
Intelsat 21 (IS-21, PAS-21)
Inmarsat-3F2 (Inmarsat 3F2, I3F2, AOR-E)
Intelsat 27 (IS-27)
Inmarsat GX2 (Inmarsat 5F2, I5-AOR, GX2)
Intelsat 34 (IS-34, Hispasat 55W-2, H55W-2)
Inmarsat-3F4 (Inmarsat 3 F4, I3F4, AOR-W)
Inmarsat-3F5 (Inmarsat 3F5, I3F5, IND-W)
Intelsat 23 (IS-23)
Intelsat 707 (IS-707, Intelsat 7-F7)
Intelsat 902 (IS-902)
Intelsat 9 (IS 9, PAS 9, PAS-23)
Intelsat 29E (IS-29E)
AOneSat 1
SES 14
NSS 703 (Intelsat 703)
NSS 806 (Intelsat 806)
Intelsat 14 (IS-14, PAS 14)
Intelsat 11 (IS-11, PAS-11)
Intelsat 32e (IS-32e, SKY Brasil-1, Sky-B1)
SES 6
XM 1 (XM Roll)
Telstar 11N (Telstar 11R)
NSS 10 (AMC 12, Star One C12, Worldsat 2, GE 1i)
Hispasat 55W-1 (Amazonas 1)
Hispasat 36W-1 (H36W-1, Hispasat AG1, HAG1, Hispasat Advanced Generation 1, Hispasat 2A)
Skynet 4F
Hylas 4 (Hylas Africa, Hylas 5)
Intelsat 35e
Intelsat 25 (Protostar 1, Protostar I, Chinasat 8, Zhongxing 8, IS-25)
Intelsat 903 (IS-903)
Hispasat 30W-5 (H30W-5, Hispasat 1E)
Hispasat 30W-6 (H30W-6, Hispasat 1F)
XTAR-LANT (Spainsat 1)
Intelsat 705 (IS-705, Intelsat 7-F5)
Intelsat 801 (IS-801)
Intelsat 701 (IS-701, Intelsat 7-F1)
Intelsat 904 (IS-904)
Inmarsat-6 F2 (Inmarsat GX 6B, I6-F2, GX6B)
XM 2 (XM Rock)
Intelsat 901 + MEV1 (IS-901, IS-901+MEV-1)
Intelsat 907 (IS-907)
AlComSat 1
Intelsat 905 (IS-905)
SES 4 (NSS 14)
Al Yah 3
NSS 7
Intelsat 7 (IS-7, PAS-7)
Intelsat 37e
Skynet 5C
Luch 5B (Loutch-5B, Луч-5Б)
ABS-3 (Agila 2, Mabuhay 1, ABS 5)
Telstar 12V (Telstar 12 Vantage)
Express AM8
Eutelsat 12 West B (E12WB, E8WA, AB2, Atlantic Bird 2, Eutelsat 8 West A)
Eutelsat 12 West E (E12WE, Afghansat 1, E48D, E48B, W2M, Eutelsat W2M, Eutelsat 28B)
Express AM33 (Ekspress AM33)
Express AM44 (Ekspress AM-44)
Express A3 (Ekspress 3A)
Eutelsat 8 West D (E8WD, Eutelsat 3A, E3A, XINNUO 3, Sinosat 3, 中星5C, ChinaSat 5C)
Telecom 2D
Eutelsat 8 West B
Eutelsat 7 West A (E7WA, AB7, Atlantic Bird 7, Nilebird, Atlantic Bird 4R, Nilesat 104)
Nilesat 101
Nilesat 102
Nilesat 201
Nilesat 301
Eutelsat 5 West B (E5WB)
Eutelsat 5 West A (E5WA, AB3, Atlantic Bird 3, Stellat 5)
Amos 2
Thor 3
Amos 8
Amos 6
Amos 7 (Asiasat 8)
Amos 3 (Amos 60)
ABS-3A
Thor 7
Skynet 4E
Thor 5 (Thor 2R)
Thor 6 (Intelsat 1W, IS-1W)
Intelsat 10-02 + MEV2 (Intelsat 1002, Intelsat Alpha-2, Intelsat X-02, IS-1002, MEV 2)
